ID,MUNICIPIO,DEPARTAMENTO,INVERSION
592,GACHANCIPA,CUNDINAMARCA,507191647.62
593,GACHETA,CUNDINAMARCA,738931300.31
594,GAMA,CUNDINAMARCA,236858259.2
595,GIRARDOT,CUNDINAMARCA,1917323948
596,GRANADA,CUNDINAMARCA,375991717.2
597,GUACHETA,CUNDINAMARCA,590372130.08
598,GUADUAS,CUNDINAMARCA,1183933494.17
599,GUASCA,CUNDINAMARCA,975254326.25
600,GUATAQUI,CUNDINAMARCA,214372870.27
601,GUATAVITA,CUNDINAMARCA,292784912.68
602,GUAYABAL DE SIQUIMA,CUNDINAMARCA,259410897.26
603,GUAYABETAL,CUNDINAMARCA,347605513.25
604,GUTIERREZ,CUNDINAMARCA,307120248.15
605,JERUSALEN,CUNDINAMARCA,354879662.35
606,JUNIN,CUNDINAMARCA,478803348.65
607,LA CALERA,CUNDINAMARCA,934547082.55
608,LA MESA,CUNDINAMARCA,980474728.62
609,LA PALMA,CUNDINAMARCA,863225483.25
610,LA PEÑA,CUNDINAMARCA,545142900.66
611,LA VEGA,CUNDINAMARCA,828839325.4
612,LENGUAZAQUE,CUNDINAMARCA,555950571.05
613,MACHETA,CUNDINAMARCA,368286351.52
614,MADRID,CUNDINAMARCA,1106409129.43
615,MANTA,CUNDINAMARCA,351723426.8
616,MEDINA,CUNDINAMARCA,1073787872.1
617,MOSQUERA,CUNDINAMARCA,2999865008.24
618,NARIÑO,CUNDINAMARCA,227737767.51
619,NEMOCON,CUNDINAMARCA,478515409.4
620,NILO,CUNDINAMARCA,410954687.21
621,NIMAIMA,CUNDINAMARCA,187735217.47
622,NOCAIMA,CUNDINAMARCA,488667484.09
623,PACHO,CUNDINAMARCA,1132294911.27
624,PAIME,CUNDINAMARCA,583846223.25
625,PANDI,CUNDINAMARCA,311437446.4
626,PARATEBUENO,CUNDINAMARCA,1029964548.23
627,PASCA,CUNDINAMARCA,1092645229.9
628,PUERTO SALGAR,CUNDINAMARCA,584438796
629,PULI,CUNDINAMARCA,238895532.7
630,QUEBRADANEGRA,CUNDINAMARCA,309670997.7
631,QUETAME,CUNDINAMARCA,589577154.18
632,QUIPILE,CUNDINAMARCA,497862814.42
633,RICAURTE,CUNDINAMARCA,402781581.73
634,SAN ANTONIO DEL TEQUENDAMA,CUNDINAMARCA,471747830.69
635,SAN BERNARDO,CUNDINAMARCA,764348306.41
636,SAN CAYETANO,CUNDINAMARCA,499090900.75
637,SAN FRANCISCO,CUNDINAMARCA,326085416.37
638,SAN JUAN DE RIO SECO,CUNDINAMARCA,442651509.33
639,SASAIMA,CUNDINAMARCA,513548993.9
640,SESQUILE,CUNDINAMARCA,473925669.71
641,SIBATE,CUNDINAMARCA,1072091345.27
642,SILVANIA,CUNDINAMARCA,1180058179.7
643,SIMIJACA,CUNDINAMARCA,530459057.15
644,SOACHA,CUNDINAMARCA,10785436850.28
645,SOPO,CUNDINAMARCA,687470228
646,SUBACHOQUE,CUNDINAMARCA,516692994.5
647,SUESCA,CUNDINAMARCA,602538444.3
648,SUPATA,CUNDINAMARCA,288573847.65
649,SUSA,CUNDINAMARCA,241492195.8
650,SUTATAUSA,CUNDINAMARCA,348513412.7
651,TABIO,CUNDINAMARCA,838113661.19
652,TAUSA,CUNDINAMARCA,719662786.5
653,TENA,CUNDINAMARCA,285112789.41
654,TENJO,CUNDINAMARCA,724177485.07
655,TIBACUY,CUNDINAMARCA,339441414.4
656,TIBIRITA,CUNDINAMARCA,173305524.85
657,TOCAIMA,CUNDINAMARCA,564064669.15
658,TOCANCIPA,CUNDINAMARCA,808677551.4
659,TOPAIPI,CUNDINAMARCA,374139387.1
660,UBALA,CUNDINAMARCA,856372586.1
661,UBAQUE,CUNDINAMARCA,375952879.8
662,UNE,CUNDINAMARCA,401155436.7
663,UTICA,CUNDINAMARCA,363349973.56
664,VENECIA,CUNDINAMARCA,363461166.6
665,VERGARA,CUNDINAMARCA,688051744.18
666,VIANI,CUNDINAMARCA,351305720.36
667,VILLA DE SAN DIEGO DE UBATE,CUNDINAMARCA,1449377404.17
668,VILLAGOMEZ,CUNDINAMARCA,227221202.85
669,VILLAPINZON,CUNDINAMARCA,610503236.74
670,VILLETA,CUNDINAMARCA,875001373.96
671,VIOTA,CUNDINAMARCA,1334336670.68
672,YACOPI,CUNDINAMARCA,1083821622.63
673,ZIPACON,CUNDINAMARCA,277224012.1
674,ZIPAQUIRA,CUNDINAMARCA,2376891972
675,BARRANCO MINAS,GUAINIA,361204459.84
676,CACAHUAL,GUAINIA,96381197.5
677,INIRIDA,GUAINIA,2545373613.05
678,LA GUADALUPE,GUAINIA,43567513.5
679,MAPIRIPANA,GUAINIA,31850600.5
680,MORICHAL,GUAINIA,73135230.5
681,PANA PANA,GUAINIA,53694189.3
682,PUERTO COLOMBIA,GUAINIA,221043601.8
683,SAN FELIPE,GUAINIA,197430887.3
684,CALAMAR,GUAVIARE,408985499.31
685,EL RETORNO,GUAVIARE,765691373.68
686,MIRAFLORES,GUAVIARE,359693471.15
687,SAN JOSE DEL GUAVIARE,GUAVIARE,2599353741
688,ACEVEDO,HUILA,2429245313
689,AGRADO,HUILA,1036294494.43
690,AIPE,HUILA,1571272671.25
691,ALGECIRAS,HUILA,2121711681.79
692,ALTAMIRA,HUILA,334893863.95
693,BARAYA,HUILA,672905347.45
694,CAMPOALEGRE,HUILA,2099849487.6
695,COLOMBIA,HUILA,645956113.55
696,ELIAS,HUILA,388387795.62
697,GARZON,HUILA,5045488811.14
698,GIGANTE,HUILA,2642280932.24
699,GUADALUPE,HUILA,1275035966.32
700,HOBO,HUILA,557724976.32
701,IQUIRA,HUILA,970878344.87
702,ISNOS,HUILA,1790802519.79
703,LA ARGENTINA,HUILA,1230402925.36
704,LA PLATA,HUILA,4703201339.02
705,NATAGA,HUILA,669394251.9
706,NEIVA,HUILA,13319945214.61
707,OPORAPA,HUILA,932812175.23
708,PAICOL,HUILA,487608834.75
709,PALERMO,HUILA,2047199422.69
710,PALESTINA,HUILA,862645304.09
711,PITAL,HUILA,1178256028.28
712,PITALITO,HUILA,8830419403.95
713,RIVERA,HUILA,1442100085.11
714,SALADOBLANCO,HUILA,1252411047.1
715,SAN AGUSTIN,HUILA,2326264532.45
716,SANTA MARIA,HUILA,1058544208.65
717,SUAZA,HUILA,1644757240.6
718,TARQUI,HUILA,1438248912.79
719,TELLO,HUILA,1109475251.1
720,TERUEL,HUILA,529458856.69
721,TESALIA,HUILA,820173221.02
722,TIMANA,HUILA,1833638392.16
723,VILLAVIEJA,HUILA,613141259.65
724,YAGUARA,HUILA,578786602.41
725,ALBANIA,LA GUAJIRA,314766844.17
726,BARRANCAS,LA GUAJIRA,1534569172.05
727,DIBULLA,LA GUAJIRA,718648150.24
728,DISTRACCION,LA GUAJIRA,326126297.7
729,EL MOLINO,LA GUAJIRA,621164531.71
730,FONSECA,LA GUAJIRA,1460119398.03
731,HATONUEVO,LA GUAJIRA,368342360.14
732,LA JAGUA DEL PILAR,LA GUAJIRA,313520157.38
733,MAICAO,LA GUAJIRA,5613874815.8
734,MANAURE,LA GUAJIRA,941137393.14
735,RIOHACHA,LA GUAJIRA,7442428288.21
736,SAN JUAN DEL CESAR,LA GUAJIRA,1622661655.85
737,URIBIA,LA GUAJIRA,4337559636.35
738,URUMITA,LA GUAJIRA,251980719.45
739,VILLANUEVA,LA GUAJIRA,741369137.11
740,ALGARROBO,MAGDALENA,862780946.35
741,ARACATACA,MAGDALENA,1641208434.77
742,ARIGUANI,MAGDALENA,1509227577.65
743,CERRO SAN ANTONIO,MAGDALENA,463212156.5
744,CHIBOLO,MAGDALENA,1528874069.48
745,CIENAGA,MAGDALENA,4957545168.02
746,CONCORDIA,MAGDALENA,1218422022.05
747,EL BANCO,MAGDALENA,4266153207.4
748,EL PIÑON,MAGDALENA,1160846073.8
749,EL RETEN,MAGDALENA,1701173534.23
750,FUNDACION,MAGDALENA,2848347800.6
751,GUAMAL,MAGDALENA,2265036764.77
752,NUEVA GRANADA,MAGDALENA,1335262595.55
753,PEDRAZA,MAGDALENA,775857175.8
754,PIJIÑO DEL CARMEN,MAGDALENA,1206423681.35
755,PIVIJAY,MAGDALENA,2918041655.43
756,PLATO,MAGDALENA,2454844647.25
757,PUEBLOVIEJO,MAGDALENA,1979989522.8
758,REMOLINO,MAGDALENA,679854472.55
759,SABANAS DE SAN ANGEL,MAGDALENA,1157298347.8
760,SALAMINA,MAGDALENA,684854413.2
761,SAN SEBASTIAN DE BUENAVISTA,MAGDALENA,1974867946.85
762,SAN ZENON,MAGDALENA,1170362815.25
763,SANTA ANA,MAGDALENA,2232859498.91
764,SANTA BARBARA DE PINTO,MAGDALENA,512929769.15
765,SANTA MARTA,MAGDALENA,13177045701.61
766,SITIONUEVO,MAGDALENA,1486561074.39
767,TENERIFE,MAGDALENA,1453120894.55
768,ZAPAYAN,MAGDALENA,935406707.5
769,ZONA BANANERA,MAGDALENA,4753145348.58
770,ACACIAS,META,4135870095.21
771,BARRANCA DE UPIA,META,625149643.08
772,CABUYARO,META,293683054.7
773,CASTILLA LA NUEVA,META,1069460357.71
774,CUBARRAL,META,507785224.95
775,CUMARAL,META,1226834909.55
776,EL CALVARIO,META,294850831.65
777,EL CASTILLO,META,692700915.14
778,EL DORADO,META,390619074.07
779,FUENTE DE ORO,META,767782619.29
780,GRANADA,META,2742574055.84
781,GUAMAL,META,1188105043.03
782,LA MACARENA,META,1493754134.98
783,LEJANIAS,META,699333741.57
784,MAPIRIPAN,META,339429784.28
785,MESETAS,META,1033731908.83
786,PUERTO CONCORDIA,META,897108960.98
787,PUERTO GAITAN,META,2191908947.33
788,PUERTO LLERAS,META,532707050.18
789,PUERTO LOPEZ,META,1868461276.92
790,PUERTO RICO,META,526399814.82
791,RESTREPO,META,1121940890.84
792,SAN CARLOS DE GUAROA,META,793526641.58
793,SAN JUAN DE ARAMA,META,536863510.32
794,SAN JUANITO,META,194785434.1
795,SAN MARTIN,META,1302666128.18
796,URIBE,META,798366727.51
797,VILLAVICENCIO,META,7698632776.29
798,VISTAHERMOSA,META,1435521222.67
799,ALBAN,NARIÑO,630630074.9
800,ALDANA,NARIÑO,574800032.28
801,ANCUYA,NARIÑO,428501573.8
802,ARBOLEDA,NARIÑO,546737143.47
803,BARBACOAS,NARIÑO,3427923836.24
804,BELEN,NARIÑO,507022994.78
805,BUESACO,NARIÑO,1226960538.04
806,CHACHAGsI,NARIÑO,723663114.78
807,COLON,NARIÑO,545647374.1
808,CONSACA,NARIÑO,638836012.15
809,CONTADERO,NARIÑO,291290027.17
810,CORDOBA,NARIÑO,1040432753.9
811,CUASPUD,NARIÑO,378697295.65
812,CUMBAL,NARIÑO,1151128725.97
813,CUMBITARA,NARIÑO,456537147.89
814,EL CHARCO,NARIÑO,1700362145.09
815,EL PEÑOL,NARIÑO,352270615.35
816,EL ROSARIO,NARIÑO,377005334.22
817,EL TABLON DE GOMEZ,NARIÑO,746439527.66
818,EL TAMBO,NARIÑO,680822404.26
819,FRANCISCO PIZARRO,NARIÑO,287007229
820,FUNES,NARIÑO,542138995.3
821,GUACHUCAL,NARIÑO,770629381.92
822,GUAITARILLA,NARIÑO,777300914.82
823,GUALMATAN,NARIÑO,458207085.66
824,ILES,NARIÑO,551417150.23
825,IMUES,NARIÑO,656506668.59
826,IPIALES,NARIÑO,4997550112.05
827,LA CRUZ,NARIÑO,1428766289.91
828,LA FLORIDA,NARIÑO,594583922.66
829,LA LLANADA,NARIÑO,374668973.63
830,LA TOLA,NARIÑO,572795140.68
831,LA UNION,NARIÑO,1094824991.53
832,LEIVA,NARIÑO,601822975.03
833,LINARES,NARIÑO,365237187.9
834,LOS ANDES,NARIÑO,511218861.95
835,MAGsI,NARIÑO,794783519.09
836,MALLAMA,NARIÑO,381262133.9
837,MOSQUERA,NARIÑO,391951144.25
838,NARIÑO,NARIÑO,242006882.08
839,OLAYA HERRERA,NARIÑO,1166899943.26
840,OSPINA,NARIÑO,480796458.7
841,PASTO,NARIÑO,8970525054.11
842,POLICARPA,NARIÑO,626895730.4
843,POTOSI,NARIÑO,593210778.4
844,PROVIDENCIA,NARIÑO,280543456.73
845,PUERRES,NARIÑO,598905678.67
846,PUPIALES,NARIÑO,1238709523.72
847,RICAURTE,NARIÑO,1138880604.7
848,ROBERTO PAYAN,NARIÑO,873349948.2
849,SAMANIEGO,NARIÑO,1385557106.81
850,SAN ANDRES DE TUMACO,NARIÑO,11584563732.57
851,SAN BERNARDO,NARIÑO,529139575.62
852,SAN LORENZO,NARIÑO,1018520797.62
853,SAN PABLO,NARIÑO,862152882.43
854,SAN PEDRO DE CARTAGO,NARIÑO,220847194.85
855,SANDONA,NARIÑO,1377774833
856,SANTA BARBARA,NARIÑO,746427854.3
857,SANTACRUZ,NARIÑO,816836836.17
858,SAPUYES,NARIÑO,309915702.72
859,TAMINANGO,NARIÑO,1217155839.05
860,TANGUA,NARIÑO,765777438.81
861,TUQUERRES,NARIÑO,1949257270.44
862,YACUANQUER,NARIÑO,692548629.68
863,ABREGO,NORTE DE SANTANDER,3236427379.55
864,ARBOLEDAS,NORTE DE SANTANDER,915836168.3
865,BOCHALEMA,NORTE DE SANTANDER,670770010.38
866,BUCARASICA,NORTE DE SANTANDER,341019207.4
867,CACHIRA,NORTE DE SANTANDER,1001426125.6
868,CACOTA,NORTE DE SANTANDER,294202452.9
869,CHINACOTA,NORTE DE SANTANDER,1156047512.29
870,CHITAGA,NORTE DE SANTANDER,968837586.95
871,CONVENCION,NORTE DE SANTANDER,1519966407.62
872,CUCUTA,NORTE DE SANTANDER,15671643737.38
873,CUCUTILLA,NORTE DE SANTANDER,896507877.12
874,DURANIA,NORTE DE SANTANDER,306449723.6
875,EL CARMEN,NORTE DE SANTANDER,1179507325.9
876,EL TARRA,NORTE DE SANTANDER,959413452.8
877,EL ZULIA,NORTE DE SANTANDER,2099713455.35
878,GRAMALOTE,NORTE DE SANTANDER,548072216.85
879,HACARI,NORTE DE SANTANDER,751656544.3
880,HERRAN,NORTE DE SANTANDER,229367250.1
881,LA ESPERANZA,NORTE DE SANTANDER,1218670257
882,LA PLAYA,NORTE DE SANTANDER,840808920.45
883,LABATECA,NORTE DE SANTANDER,557648000.8
884,LOS PATIOS,NORTE DE SANTANDER,3689795996.83
885,LOURDES,NORTE DE SANTANDER,404944027.6
886,MUTISCUA,NORTE DE SANTANDER,320009001.35
887,OCAÑA,NORTE DE SANTANDER,8120926055.89
888,PAMPLONA,NORTE DE SANTANDER,2896513693.48
889,PAMPLONITA,NORTE DE SANTANDER,552023366.6
890,PUERTO SANTANDER,NORTE DE SANTANDER,707445818.1
891,RAGONVALIA,NORTE DE SANTANDER,480556726.9
892,SALAZAR,NORTE DE SANTANDER,466522941.5
893,SAN CALIXTO,NORTE DE SANTANDER,1351111236.23
894,SAN CAYETANO,NORTE DE SANTANDER,529428201.3
895,SANTIAGO,NORTE DE SANTANDER,231682922.55
896,SARDINATA,NORTE DE SANTANDER,2349277990.43
897,SILOS,NORTE DE SANTANDER,514222198.05
898,TEORAMA,NORTE DE SANTANDER,1882619751.9
899,TIBU,NORTE DE SANTANDER,4582689744.08
900,TOLEDO,NORTE DE SANTANDER,1798659167.46
901,VILLA CARO,NORTE DE SANTANDER,592395883.71
902,VILLA DEL ROSARIO,NORTE DE SANTANDER,2822072767.6
903,COLON,PUTUMAYO,203628438.54
904,LEGUIZAMO,PUTUMAYO,1968234502.64
905,MOCOA,PUTUMAYO,5663351293.3
906,ORITO,PUTUMAYO,3380980631.7
907,PUERTO ASIS,PUTUMAYO,3753720050.27
908,PUERTO CAICEDO,PUTUMAYO,805880040.76
909,PUERTO GUZMAN,PUTUMAYO,1718389123.28
910,SAN FRANCISCO,PUTUMAYO,366700880
911,SAN MIGUEL,PUTUMAYO,849741155.36
912,SANTIAGO,PUTUMAYO,408340084.4
913,SIBUNDOY,PUTUMAYO,626211153.8
914,VALLE DEL GUAMUEZ,PUTUMAYO,1833012200.79
915,VILLAGARZON,PUTUMAYO,1883327535.09
916,ARMENIA,QUINDIO,8019069151.38
917,BUENAVISTA,QUINDIO,420161903.75
918,CALARCA,QUINDIO,3097272380.99
919,CIRCASIA,QUINDIO,1703880544.2
920,CORDOBA,QUINDIO,701533655.34
921,FILANDIA,QUINDIO,1569422923.8
922,GENOVA,QUINDIO,958194247
923,LA TEBAIDA,QUINDIO,2424515462.79
924,MONTENEGRO,QUINDIO,2643634088.95
925,PIJAO,QUINDIO,866995904.18
926,QUIMBAYA,QUINDIO,1988050180.71
927,SALENTO,QUINDIO,637397963.5
928,APIA,RISARALDA,846395789.79
929,BALBOA,RISARALDA,563753596.59
930,BELEN DE UMBRIA,RISARALDA,1498932969.78
931,DOSQUEBRADAS,RISARALDA,5928776140.34
932,GUATICA,RISARALDA,981214948.69
933,LA CELIA,RISARALDA,741404672.67
934,LA VIRGINIA,RISARALDA,1505446258.46
935,MARSELLA,RISARALDA,1343239272.05
936,MISTRATO,RISARALDA,1146053379.86
937,PEREIRA,RISARALDA,9059836112.79
938,PUEBLO RICO,RISARALDA,1562413089.91
939,QUINCHIA,RISARALDA,2196958530.06
940,SANTA ROSA DE CABAL,RISARALDA,3839754010.01
941,SANTUARIO,RISARALDA,1065219395.53
942,PROVIDENCIA,SAN ANDRES Y PROVIDENCIA,1244719270.19
943,SAN ANDRES,SAN ANDRES Y PROVIDENCIA,5364607437.4
944,AGUADA,SANTANDER,172205687.79
945,ALBANIA,SANTANDER,273590199.2
946,ARATOCA,SANTANDER,548836421.89
947,BARBOSA,SANTANDER,1538348738.64
948,BARICHARA,SANTANDER,409145443.35
949,BARRANCABERMEJA,SANTANDER,4522895740.44
950,BETULIA,SANTANDER,337389091.95
951,BOLIVAR,SANTANDER,852238745.44
952,BUCARAMANGA,SANTANDER,7072660178.59
953,CABRERA,SANTANDER,128504130.26
954,CALIFORNIA,SANTANDER,144300137.86
955,CAPITANEJO,SANTANDER,277782740.5
956,CARCASI,SANTANDER,465877731.84
957,CEPITA,SANTANDER,208828724.07
958,CERRITO,SANTANDER,552320255.8
959,CHARALA,SANTANDER,816130186.39
960,CHARTA,SANTANDER,283915780.35
961,CHIMA,SANTANDER,206118049.22
962,CHIPATA,SANTANDER,205185072
963,CIMITARRA,SANTANDER,1558310076.53
964,CONCEPCION,SANTANDER,472745563.95
965,CONFINES,SANTANDER,252857497.84
966,CONTRATACION,SANTANDER,166303076.5
967,COROMORO,SANTANDER,340506619.9
968,CURITI,SANTANDER,1259493877.1
969,EL CARMEN DE CHUCURI,SANTANDER,828784829.57
970,EL GUACAMAYO,SANTANDER,131635827.95
971,EL PEÑON,SANTANDER,374185054.28
972,EL PLAYON,SANTANDER,690373944.1
973,ENCINO,SANTANDER,202163672.9
974,ENCISO,SANTANDER,324074615.5
975,FLORIAN,SANTANDER,321911766.6
976,FLORIDABLANCA,SANTANDER,9497621045.45
977,GALAN,SANTANDER,368671051.3
978,GAMBITA,SANTANDER,408707631.5
979,GIRON,SANTANDER,2381487589.74
980,GsEPSA,SANTANDER,233593957.3
981,GUACA,SANTANDER,430822927.9
982,GUADALUPE,SANTANDER,345543465.88
983,GUAPOTA,SANTANDER,178161465.6
984,GUAVATA,SANTANDER,243197830.7
985,HATO,SANTANDER,201628685.45
986,JESUS MARIA,SANTANDER,235388784.45
987,JORDAN,SANTANDER,166151213.05
988,LA BELLEZA,SANTANDER,281811676.6
989,LA PAZ,SANTANDER,328823410.62
990,LANDAZURI,SANTANDER,853126149.36
991,LEBRIJA,SANTANDER,1079768790.45
992,LOS SANTOS,SANTANDER,923363843.05
993,MACARAVITA,SANTANDER,263453322.05
994,MALAGA,SANTANDER,1143278353.3
995,MATANZA,SANTANDER,375410807.05
996,MOGOTES,SANTANDER,526098977.9
997,MOLAGAVITA,SANTANDER,398683116.96
998,OCAMONTE,SANTANDER,274561533.99
999,OIBA,SANTANDER,402913078.95
1000,ONZAGA,SANTANDER,494936402.97
1001,PALMAR,SANTANDER,107902202.3
1002,PALMAS DEL SOCORRO,SANTANDER,151663527.75
1003,PARAMO,SANTANDER,255904495.75
1004,PIEDECUESTA,SANTANDER,2768435629.25
1005,PINCHOTE,SANTANDER,202542618.4
1006,PUENTE NACIONAL,SANTANDER,837001704.74
1007,PUERTO PARRA,SANTANDER,340974079.75
1008,PUERTO WILCHES,SANTANDER,1091978650
1009,RIONEGRO,SANTANDER,1625215936.38
1010,SABANA DE TORRES,SANTANDER,1038794012.96
1011,SAN ANDRES,SANTANDER,545479660.6
1012,SAN BENITO,SANTANDER,203747111.85
1013,SAN GIL,SANTANDER,2236466798.85
1014,SAN JOAQUIN,SANTANDER,215577823.85
1015,SAN JOSE DE MIRANDA,SANTANDER,519482326.8
1016,SAN MIGUEL,SANTANDER,252803379.79
1017,SAN VICENTE DE CHUCURI,SANTANDER,1491341308.65
1018,SANTA BARBARA,SANTANDER,143134848.5
1019,SANTA HELENA DEL OPON,SANTANDER,274254070.5
1020,SIMACOTA,SANTANDER,519773776
1021,SOCORRO,SANTANDER,1382063726.69
1022,SUAITA,SANTANDER,517740889.1
1023,SUCRE,SANTANDER,537522844.33
1024,SURATA,SANTANDER,277542236.88
1025,TONA,SANTANDER,365581560.34
1026,VALLE DE SAN JOSE,SANTANDER,331712448.2
1027,VELEZ,SANTANDER,1121813336.73
1028,VETAS,SANTANDER,197784924.65
1029,VILLANUEVA,SANTANDER,257422600.69
1030,ZAPATOCA,SANTANDER,481001937.38
1031,BUENAVISTA,SUCRE,839117293.89
1032,CAIMITO,SUCRE,1687647684.87
1033,CHALAN,SUCRE,439460250.64
1034,COLOSO,SUCRE,775556960.67
1035,COROZAL,SUCRE,1981392786.94
1036,COVEÑAS,SUCRE,1152309570.06
1037,EL ROBLE,SUCRE,905996858.18
1038,GALERAS,SUCRE,1672421742
1039,GUARANDA,SUCRE,1114014483.48
1040,LA UNION,SUCRE,1403407487.93
1041,LOS PALMITOS,SUCRE,1888371363.36
1042,MAJAGUAL,SUCRE,2044435406.65
1043,MORROA,SUCRE,847252729.07
1044,OVEJAS,SUCRE,2075998628.93
1045,PALMITO,SUCRE,913221637.75
1046,SAMPUES,SUCRE,2418218131.28
1047,SAN BENITO ABAD,SUCRE,1059147420.88
1048,SAN JUAN DE BETULIA,SUCRE,1342546769.45
1049,SAN LUIS DE SINCE,SUCRE,1568351938.04
1050,SAN MARCOS,SUCRE,2465853185.45
1051,SAN ONOFRE,SUCRE,3185838431.25
1052,SAN PEDRO,SUCRE,630264229.72
1053,SANTIAGO DE TOLU,SUCRE,1971091944.94
1054,SINCELEJO,SUCRE,6077642639.13
1055,SUCRE,SUCRE,1466359859.11
1056,TOLU VIEJO,SUCRE,913472634.53
1057,ALPUJARRA,TOLIMA,689371036.95
1058,ALVARADO,TOLIMA,747975901.66
1059,AMBALEMA,TOLIMA,485106238.71
1060,ANZOATEGUI,TOLIMA,799591598.69
1061,ARMERO,TOLIMA,756354809.45
1062,ATACO,TOLIMA,1539315024.13
1063,CAJAMARCA,TOLIMA,1042843641.36
1064,CARMEN DE APICALA,TOLIMA,622732863.65
1065,CASABIANCA,TOLIMA,435154565.78
1066,CHAPARRAL,TOLIMA,9535970804.67
1067,COELLO,TOLIMA,771014915.69
1068,COYAIMA,TOLIMA,2057939964.96
1069,CUNDAY,TOLIMA,936957334.06
1070,DOLORES,TOLIMA,489358662.29
1071,ESPINAL,TOLIMA,2684724498.99
1072,FALAN,TOLIMA,840250008.86
1073,FLANDES,TOLIMA,1077876046.12
1074,FRESNO,TOLIMA,1429096023.16
1075,GUAMO,TOLIMA,2052206207.85
1076,HERVEO,TOLIMA,434850630.99
1077,HONDA,TOLIMA,951338377.75
1078,IBAGUE,TOLIMA,22275206768.82
1079,ICONONZO,TOLIMA,654266874.25
1080,LERIDA,TOLIMA,593322516.45
1081,LIBANO,TOLIMA,2552793914.68
1082,MARIQUITA,TOLIMA,1964173647.13
1083,MELGAR,TOLIMA,1360488007.8
1084,MURILLO,TOLIMA,359437427.85
1085,NATAGAIMA,TOLIMA,1080761995.55
1086,ORTEGA,TOLIMA,1545308565.58
1087,PALOCABILDO,TOLIMA,441803208.34
1088,PIEDRAS,TOLIMA,534173708.22
1089,PLANADAS,TOLIMA,2216537849.25
1090,PRADO,TOLIMA,461394218.46
1091,PURIFICACION,TOLIMA,1990532443.63
1092,RIOBLANCO,TOLIMA,1520014202
1093,RONCESVALLES,TOLIMA,424153121.1
1094,ROVIRA,TOLIMA,1393064580.83
1095,SALDAÑA,TOLIMA,850702923.2
1096,SAN ANTONIO,TOLIMA,1037004562.13
1097,SAN LUIS,TOLIMA,731099402.35
1098,SANTA ISABEL,TOLIMA,395994387.14
1099,SUAREZ,TOLIMA,250477268.92
1100,VALLE DE SAN JUAN,TOLIMA,658168829.84
1101,VENADILLO,TOLIMA,990457737.67
1102,VILLAHERMOSA,TOLIMA,572912188.73
1103,VILLARRICA,TOLIMA,399748760.25
1104,ALCALA,VALLE DEL CAUCA,619002997.05
1105,ANDALUCIA,VALLE DEL CAUCA,887572377.37
1106,ANSERMANUEVO,VALLE DEL CAUCA,1112929211.15
1107,ARGELIA,VALLE DEL CAUCA,805495190.7
1108,BOLIVAR,VALLE DEL CAUCA,1019364656.68
1109,BUENAVENTURA,VALLE DEL CAUCA,7193956192.42
1110,BUGALAGRANDE,VALLE DEL CAUCA,2282766194.37
1111,CAICEDONIA,VALLE DEL CAUCA,1223501280.12
1112,CALI,VALLE DEL CAUCA,22494252852.31
1113,CALIMA,VALLE DEL CAUCA,814293717.06
1114,CANDELARIA,VALLE DEL CAUCA,2285498123.99
1115,CARTAGO,VALLE DEL CAUCA,3629192453.44
1116,DAGUA,VALLE DEL CAUCA,2244474995.17
1117,EL AGUILA,VALLE DEL CAUCA,731765122.87
1118,EL CAIRO,VALLE DEL CAUCA,973592020.14
1119,EL CERRITO,VALLE DEL CAUCA,1882260238.48
1120,EL DOVIO,VALLE DEL CAUCA,844718644.44
1121,FLORIDA,VALLE DEL CAUCA,2708026634.73
1122,GINEBRA,VALLE DEL CAUCA,944173048.56
1123,GUACARI,VALLE DEL CAUCA,1529805460.01
1124,GUADALAJARA DE BUGA,VALLE DEL CAUCA,3572842481.68
1125,JAMUNDI,VALLE DEL CAUCA,3904549445.78
1126,LA CUMBRE,VALLE DEL CAUCA,744713662.92
1127,LA UNION,VALLE DEL CAUCA,1680481069.41
1128,LA VICTORIA,VALLE DEL CAUCA,889341951.21
1129,OBANDO,VALLE DEL CAUCA,857431705.54
1130,PALMIRA,VALLE DEL CAUCA,8104893666.91
1131,PRADERA,VALLE DEL CAUCA,1895070771.11
1132,RESTREPO,VALLE DEL CAUCA,908256503.67
1133,RIOFRIO,VALLE DEL CAUCA,1092754310.95
1134,ROLDANILLO,VALLE DEL CAUCA,1679995599.97
1135,SAN PEDRO,VALLE DEL CAUCA,768153720.69
1136,SEVILLA,VALLE DEL CAUCA,1634271676.45
1137,TORO,VALLE DEL CAUCA,696570666.84
1138,TRUJILLO,VALLE DEL CAUCA,1210701588.47
1139,TULUA,VALLE DEL CAUCA,4375898543.86
1140,ULLOA,VALLE DEL CAUCA,423242611.6
1141,VERSALLES,VALLE DEL CAUCA,434831233
1142,VIJES,VALLE DEL CAUCA,581246533.94
1143,YOTOCO,VALLE DEL CAUCA,774814928.62
1144,YUMBO,VALLE DEL CAUCA,7008706253.28
1145,ZARZAL,VALLE DEL CAUCA,1874485058.99
1146,CARURU,VAUPES,162164418.4
1147,MITU,VAUPES,1802319315.82
1148,PACOA,VAUPES,133587614.1
1149,TARAIRA,VAUPES,113568745.9
1150,YAVARATE,VAUPES,69311615.3
1151,CUMARIBO,VICHADA,2241236863.01
1152,LA PRIMAVERA,VICHADA,562055673.65
